What is a shell, and what does the `|` (pipe) actually do?	A **shell** is the program that reads what you type and runs it, `zsh` or `bash` on macOS/Linux, PowerShell on Windows. It's essentially a REPL for your whole computer: you type a command, the OS runs a program, and it prints output. The `|` pipe takes the output of one program and feeds it in as the input of the next, so small, specialized tools compose into bigger jobs. In `ls -la | grep ".py" | wc -l`, `ls` lists files, `grep` filters to lines containing `.py`, and `wc -l` counts what's left, three dumb workers lined up on a conveyor belt.	00_1-setup-and-tooling
Why should you never `pip install` into the system Python? What does a virtual environment isolate?	The system Python is what the operating system depends on for its own internal tools, so installing packages into it or upgrading it can break the OS. It's also like one shared communal kitchen: if Project A needs version 1.0 of a library and Project B needs version 2.0, installing globally means they fight and one breaks. A **virtual environment** is a self-contained folder holding its own copy of Python and its own `site-packages`; activating it points `python` and `pip` inside that folder, isolating each project's dependencies like a private kitchen.	00_1-setup-and-tooling
What are the three "places" a file can live in git, and which command moves a change between each?	The three places are the **working directory** (the files you're actually editing), the **staging area/index** (a holding pen for changes you've marked with `git add`), and the **repository** (the committed history). `git add` moves a change from working directory to staging; `git commit` moves it from staging into the repository as a permanent snapshot. Think of it as a two-step airlock: you choose exactly what goes in the box (`git add`), then tape it shut and label it (`git commit -m "..."`).	00_1-setup-and-tooling
What's the difference between stdout and stderr, and why keep them separate?	**stdout** (stream 1) is a process's normal output; **stderr** (stream 2) is its error output, separate from **stdin** (stream 0), the input. Keeping them separate is why you can pipe or redirect a program's results somewhere else while its errors still show up on screen instead of getting silently swallowed. For example, `python script.py > out.txt 2> err.txt` sends normal output to `out.txt` and errors to `err.txt` independently.	00_1-setup-and-tooling
What does a breakpoint let you do that a print statement doesn't?	A breakpoint freezes the running program at a specific line and opens a panel showing every variable's current value, letting you step over a line, step into a function call, and resume at will. A print statement only shows you the one thing you thought to print, at the moment you thought to print it. It's like hitting pause on a movie to study a single frame, versus print, which only shows you the frames you singled out in advance.	00_1-setup-and-tooling
In one breath, what's the loop: editor → file → interpreter → output, and where does the terminal fit?	You type code into an **editor**, save it as a `.py` file, and use the **terminal** to tell the **Python interpreter** to run that file; the interpreter reads the instructions and prints results or errors back to you. The terminal is the doorway in the loop: it's where you launch the interpreter on your file and where the output comes back. Every other tool in the chapter, virtual environments, git, the debugger, exists to make this same loop smoother and safer.	00_1-setup-and-tooling
You get `ModuleNotFoundError` right after a successful `pip install`. What's your first hypothesis and the one command you'd run to check it? If any of those are fuzzy, reread that section. If they're solid, your environment is ready. Next you'll learn the language in [Chapter 0.2: Programming Fundamentals](00.2-programming-fundamentals.md), then how to think through problems in [Chapter 0.3](00.3-problem-solving.md), before heading to [Part 1: how computers represent everything](../01-Foundations/01.1-data-representation.md).	The first hypothesis is that the virtual environment wasn't active when you ran `pip install`, so the package landed in a different Python than the one running your code. The one command to check: look for `(.venv)` at the start of your prompt, or run `which python` and `which pip` to see whether they both point inside `.venv` or diverge. If they don't both point inside the project's venv, `source .venv/bin/activate` and reinstall.	00_1-setup-and-tooling
What's the difference between `=` and `==`? Between `/` and `//`?	`=` is **assignment**, an arrow pointing right to left that makes a name refer to a value; `==` is **comparison**, which checks equality and produces a `bool`. `/` is regular division and always returns a float, even `4 / 2` gives `2.0`; `//` is **floor division**, which drops the remainder and rounds down to a whole number, like splitting cookies among friends and keeping only the whole-cookie count. Confusing `=` with `==` inside an `if` is a classic beginner trap, though Python protects you by refusing `=` in a condition.	00_2-programming-fundamentals
Why is `input()`'s result always a string, and what do you do about it?	`input()` always hands back a **string**, even if the user types `42`, you get the text `"42"`, not the number. This matters because doing math on that result directly fails, `"25" + 1` raises a `TypeError`. The fix is to convert right away with `int()` or `float()`, for example `age = int(input("Age? "))`.	00_2-programming-fundamentals
Indexing starts at what number? What does slicing's "stop is exclusive" mean?	Indexing starts at **0**; the first character or element is 0 steps from the start. Slicing with `[start:stop]` grabs everything from `start` up to but not including `stop`, so `s[0:3]` returns indices 0, 1, and 2, never index 3. This "stop is exclusive" rule is consistent across strings, lists, and every sequential type in Python.	00_2-programming-fundamentals
When do you reach for a list vs a dict vs a set?	Reach for a **list** when you need an ordered, growable collection that can hold duplicates, an ordered row of items you'll add to or iterate over. Reach for a **dict** when you need to look things up by a key or name, mapping something like a person's name to their age with fast lookups. Reach for a **set** when you need unique items or fast "have I seen this?" membership checks, since sets automatically drop duplicates and test membership quickly. Ninety percent of everyday code is just lists and dicts.	00_2-programming-fundamentals
What does `return` do, and what does a function return if it has no `return`?	`return` hands a value back to whoever called the function and ends the function's work at that point. If a function has no `return` statement, it implicitly returns `None`, meaning it did something (like printing) but produced no value to hand back. This is why calling a function that only `print`s and assigning its result to a variable leaves that variable holding `None`.	00_2-programming-fundamentals
How do you read a traceback - which line do you look at first?	You read a traceback bottom-up: the **last line** first, since it names the error type (like `ZeroDivisionError`) and the message explaining what went wrong. The lines above show *where* it happened, the file and line number, along with the actual offending line of code. So the order is: what kind of error, what the message says, which line, then go look at that line with the message in mind.	00_2-programming-fundamentals
